,PMT,param,slope,scale,intercept
0,PMT1,fitParam0,15.877110939424592,0.0,0.0
1,PMT1,fitParam1,0.0058681414854568495,3.403225354744041,1.0
2,PMT1,fitParam2,0.009101919008058108,0.2867707070427931,1.0
3,PMT2,fitParam0,11.051027605121542,0.0,0.0
4,PMT2,fitParam1,0.0024505900010007593,4.372539103156089,1.0
5,PMT2,fitParam2,0.011413333064903908,0.13645082948363177,1.0
6,PMT3,fitParam0,10.933503388915161,0.0,0.0
7,PMT3,fitParam1,0.004085886018587053,3.1858778394198275,1.0
8,PMT3,fitParam2,0.013774466008133807,0.24462782368398606,1.0
9,PMT4,fitParam0,12.24992071781454,0.0,0.0
10,PMT4,fitParam1,0.0030482534511135713,3.526970993536567,1.0
11,PMT4,fitParam2,0.012113504672577786,0.18669671914863936,1.0
